rank tag source timestamp
0 1000 1 1292874.485
0 1000 2 1292874.485
0 1000 3 1292874.485
0 1000 4 1292874.485
0 1000 5 1292874.485
0 1000 6 1292874.485
0 1000 7 1292874.485
0 1001 1 1292874.49
0 1001 2 1292874.49
0 1001 3 1292874.49
0 1001 4 1292874.49
0 1001 5 1292874.49
0 1001 6 1292874.49
0 1001 7 1292874.49
0 1002 1 1292874.536
0 1002 2 1292874.536
0 1002 3 1292874.536
0 1002 4 1292874.536
0 1002 5 1292874.536
0 1002 6 1292874.536
0 1002 7 1292874.536
0 1003 1 1292874.539
0 1003 2 1292874.539
0 1003 3 1292874.539
0 1003 4 1292874.539
0 1003 5 1292874.539
0 1003 6 1292874.539
0 1003 7 1292874.539
0 1004 1 1292874.541
0 1004 2 1292874.541
0 1004 3 1292874.541
0 1004 4 1292874.541
0 1004 5 1292874.541
0 1004 6 1292874.541
0 1004 7 1292874.541
0 1005 1 1292874.543
0 1005 2 1292874.543
0 1005 3 1292874.543
0 1005 4 1292874.543
0 1005 5 1292874.543
0 1005 6 1292874.544
0 1005 7 1292874.544
0 1006 1 1292874.546
0 1006 2 1292874.546
0 1006 3 1292874.546
0 1006 4 1292874.546
0 1006 5 1292874.546
0 1006 6 1292874.546
0 1006 7 1292874.546
0 1007 1 1292874.548
0 1007 2 1292874.548
0 1007 3 1292874.548
0 1007 4 1292874.548
0 1007 5 1292874.548
0 1007 6 1292874.548
0 1007 7 1292874.548
0 1008 1 1292874.601
0 1008 2 1292874.601
0 1008 3 1292874.601
0 1008 4 1292874.601
0 1008 5 1292874.601
0 1008 6 1292874.601
0 1008 7 1292874.601
0 1009 1 1292874.606
0 1009 2 1292874.606
0 1009 3 1292874.606
0 1009 4 1292874.606
0 1009 5 1292874.606
0 1009 6 1292874.606
0 1009 7 1292874.606
0 1010 1 1292874.657
0 1010 2 1292874.657
0 1010 3 1292874.657
0 1010 4 1292874.657
0 1010 5 1292874.657
0 1010 6 1292874.657
0 1010 7 1292874.657
0 1011 1 1292874.66
0 1011 2 1292874.66
0 1011 3 1292874.66
0 1011 4 1292874.66
0 1011 5 1292874.66
0 1011 6 1292874.66
0 1011 7 1292874.66
0 1012 1 1292874.663
0 1012 2 1292874.663
0 1012 3 1292874.663
0 1012 4 1292874.663
0 1012 5 1292874.663
0 1012 6 1292874.663
0 1012 7 1292874.663
0 1013 1 1292874.666
0 1013 2 1292874.666
0 1013 3 1292874.666
0 1013 4 1292874.666
0 1013 5 1292874.666
0 1013 6 1292874.666
0 1013 7 1292874.666
0 1014 1 1292874.668
0 1014 2 1292874.668
0 1014 3 1292874.668
0 1014 4 1292874.668
0 1014 5 1292874.668
0 1014 6 1292874.668
0 1014 7 1292874.668
0 1015 1 1292874.671
0 1015 2 1292874.671
0 1015 3 1292874.671
0 1015 4 1292874.671
0 1015 5 1292874.671
0 1015 6 1292874.671
0 1015 7 1292874.671
0 1016 1 1292874.721
0 1016 2 1292874.721
0 1016 3 1292874.721
0 1016 4 1292874.721
0 1016 5 1292874.721
0 1016 6 1292874.721
0 1016 7 1292874.721
0 1017 1 1292874.726
0 1017 2 1292874.726
0 1017 3 1292874.726
0 1017 4 1292874.726
0 1017 5 1292874.726
0 1017 6 1292874.726
0 1017 7 1292874.726
0 1018 1 1292874.774
0 1018 2 1292874.774
0 1018 3 1292874.774
0 1018 4 1292874.774
0 1018 5 1292874.774
0 1018 6 1292874.774
0 1018 7 1292874.774
0 1019 1 1292874.778
0 1019 2 1292874.778
0 1019 3 1292874.778
0 1019 4 1292874.778
